title,description,identifier,isPartOf
Allegheny County Building Footprint Locations,"This dataset contains photogrammetrically compiled roof outlines of
buildings.  All near orthogonal corners
are square.  Buildings that are less than
400 square feet are not captured. 
Special consideration is given to garages that are less than 400 square
feet and will be digitized when greater than 200 square feet.  Interim rooflines, such as dormers and party
walls, as well as minor structures, such as carports, decks, patios, stairs,
etc., and impermanent structures, such as sheds, are not shown. Large buildings
which appear to house activities that are commercial or industrial in nature
are shown as commercial/industrial. Structures that appear to be primarily
residential in nature, including hotels and apartment buildings are shown as
residential buildings. Structures which appear to be used or owned primarily by
governmental, nonprofit, religious, or charitable organizations, or which serve
a public function are shown as public buildings. Structures which are closely
associated with a larger building, such as a garage, are shown as an out
building. Structures which cannot be clearly defined as Industrial/Commercial;
Residential; Public; or Out Buildings are flagged as such for later
categorization. The classification of buildings is subject to the
interpretation from the aerial photography and may not reflect the building’s
actual use.  Buildings that have an area
less than the minimum required size for data capture will occasionally be
present in the Geodatabase.  Buildings
are not removed after they have been digitized and determined to be less than
the minimum required size.<br /><br />

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Housing and Properties</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Geographic Information Systems Group; Department of
Administrative Services</p>

<p><b>Temporal
Coverage:  </b>current</p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  Data meets or exceeds map accuracy standards
in effect during the spring of 1992 and updated as a result of a flyover in the
spring of 2004 and 2015. Original data was derived from aerial photography flown in the
spring of 1992 for the eastern half of the County and the spring of 1993 for
the western half of the County.  Photography
was produced at a scale of 1&quot;=1500'. Mapping was stereo digitized at a
scale of 1&quot;=200'. </p>

<p>Other: 
none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (none)</p>

<p><b>Frequency
- Data Change:</b>  Daily</p>

<p><b>Frequency
- Publishing:</b>  Nightly</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",926d9afe-ea94-4211-9623-d9ad52fd0778,
Allegheny County Summer Food Sites,"<p>This data set shows the Summer Food Sites located within Allegheny County for children (18 years and younger) for breakfast and lunch during summer recess. OPEN SITES are food sites open to all children and CLOSED SITES are food sites reserved for children who are participating in other activities at the site. For more information on sites and program details call 1-800-851-3838 .</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>),
this dataset is harvested on a weekly basis from Allegheny County’s GIS data
portal (<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>).
The full metadata record for this dataset can also be found on Allegheny
County’s GIS portal. You can access the metadata record and other resources on
the GIS portal by clicking on the “Explore” button (and choosing the “Go to
resource” option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Education and Human and Social Services</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Department of Human Services - Office of Community Services</p>

<p><b>Temporal
Coverage:  </b>28th
July, 2017</p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none</p>

<p>Other: none<b></b></p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Sumiya
Tarannum</p>

<b>Data
Steward Email:</b> Sumiya.tarannum@alleghenycounty.us",bbbb5431-69df-43a2-ac33-c63a2ce84be1,
Allegheny County Farmers Markets Locations (2017),"This dataset shows the locations of farmers markets in Allegheny County.

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Health</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Health Department</p>

<p><b>Temporal
Coverage:  </b>2017<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none</p>

<p>Other: none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary - none</p>

<p><b>Frequency
- Data Change:</b>  None. There will be a new data set published every year.</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Ellie Newman</p>

<p><b>Data
Steward Email:</b> eleanor.newman@alleghenycounty.us</p>",6b6d872d-d7a2-4eed-877a-068f2e982e6b,
Allegheny County Zip Code Boundaries,"<div>This dataset demarcates the zip code boundaries that lie within Allegheny County.</div><div><br /></div><div>If viewing this description on the Western Pennsylvania Regional Data Center’s open data portal <a href=""http://www.wprdc.org"" target=""_blank"">(http://www.wprdc.org)</a>, this dataset is harvested on a weekly basis from Allegheny County’s GIS data portal (<a href=""http://openac.alcogis.opendata.arcgis.com/"" target=""_blank"">http://openac.alcogis.opendata.arcgis.com/</a>). The full metadata record for this dataset can also be found on Allegheny County’s GIS portal. You can access the metadata record and other resources on the GIS portal by clicking on the “Explore” button (and choosing the “Go to resource” option) to the right of the “ArcGIS Open Dataset” text below.</div><div><br /></div><div><b>Category</b>:  Civic Vitality and Governance</div><div><b><br /></b></div><div><b>Organization</b>:  Allegheny County</div><div><br /></div><div><b>Department:</b>  Geographic Information Systems Group; Department of Administrative Services</div><div><br /></div><div><b>Temporal Coverage:</b>  current</div><div><br /></div><div><b>Data Notes: </b></div><div><br /></div><div><b>Coordinate System:</b>  Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</div><div><br /></div><div><b>Development Notes:</b>  none</div><div><br /></div><div><b>Other:</b> none</div><div><br /></div><div><b>Related Document(s):</b>  Data Dictionary (none)</div><div><br /></div><div><b>Frequency - Data Change:</b>  As needed</div><div><br /></div><div><b>Frequency - Publishing:</b>  As needed</div><div><b><br /></b></div><div><b>Data Steward Name:</b>  Eli Thomas</div><div><br /></div><div><b>Data Steward Email:</b> gishelp@alleghenycounty.us</div>",1a5135de-cabe-4e23-b5e4-b2b8dd733817,
Allegheny County Council Districts,"<p>This dataset portrays the boundaries of the County Council Districts in
Allegheny County.  The dataset is based
on municipal boundaries and City of Pittsburgh ward boundaries and was updated
as the result of reapportionment in September 2002. It has also been attributed with the current representatives' names.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Civic Vitality and Governance</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Geographic Information Systems Group; Department of
Administrative Services</p>

<p><b>Temporal
Coverage:  </b>2002-present<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none </p>

<p>Other: none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (none)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",73eb573e-cc12-4f29-8e69-17f7975c89cb,
Allegheny County Parcel Boundaries,"<p>This dataset contains parcel boundaries attributed with county block and
lot number. Use the <a href=""http://wprdc.github.io/property-information-extractor/#"" target=""_blank"">Property Information Extractor</a> for more control downloading a filtered parcel dataset.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Civic Vitality and Governance</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Department of Real Estate</p>

<p><b>Temporal
Coverage:  </b>updated daily on Allegheny County's GIS Open Data page<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none</p>

<p>Other: none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (none)</p>

<p><b>Frequency
- Data Change:</b>  Multiple times per hour</p>

<p><b>Frequency
- Publishing:</b>  Daily</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",2761f364-49e6-421e-8d23-14bdfdbdbd22,
Allegheny County Park Facilities,There is no description available.,d042a774-8eba-4cc5-abd8-07e63497fbda,
Allegheny County Addressing Data Model,This document is the data model/metadata for all Allegheny County Addressing datasets and tables.,f224ac65-d187-4cc7-914f-32d3da4500d7,
Allegheny County Addressing Segment Aliases,"<p>This table contains the segment aliases for roads in Allegheny County that may have an alternate street name</p><p>If viewing this description on the Western Pennsylvania Regional Data Center’s open data portal (<a href=""http://www.wprdc.org/"">http://www.wprdc.org</a>), this dataset is harvested on a weekly basis from Allegheny County’s GIS data portal (<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The full metadata record for this dataset can also be found on Allegheny County’s GIS portal. You can access the metadata record and other resources on the GIS portal by clicking on the “Explore” button (and choosing the “Go to resource” option) to the right of the “ArcGIS Open Dataset” text below.</p><p><b>Category:</b>  Civic Vitality and Governance</p><p><b>Organization:</b>  Allegheny County</p><p><b>Department:</b>  Department of Computer Services</p><p><b>Temporal Coverage:  </b>Current</p><p><b>Data Notes:  </b></p><p>Coordinate System:  Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p><p>Development Notes:  none</p><p>Other: none</p><p><b>Related Document(s):</b>  <a href=""https://ago-item-storage.s3-external-1.amazonaws.com/ffb67d3d8b814b54b299a39de81d03b0/Addressing_GIS_Data_Model.pdf?X-Amz-Security-Token=FQoGZXIvYXdzEEYaDLJkpHwPdJr6ErYGPCK3AxrmTcy7u5UJ9k5AghJqG2jrlynqUtutdS2%2Bd6PBi8ZV9WfnyShNPMF7waKp%2BaFI9tnev3j62q6MRaTZr6KIrVEuhRL21YWznI4V6DR0cpA9ZKJBbv80KX0lUqwqhYl%2BNIYe7Dq9%2F4xWm1cKCVdH%2FwRjssDyFq7il4GQBU3j%2FheHmjZMlVcMliRiKU2xg%2FGocNGTJTUlsh2JaFtAM4vJZEqGrH4%2BsWCepiv1brDH2qVhuP%2BRgUzkwVcaoK3ltJ3BnBKO5a%2BfQ411pFqi%2FB0K62phj4I%2BZN8fMywhT1E%2FrsxM0ZP2TDpnD731PTEEN0njhzjWK%2BW3DrA%2BBi%2FFER4zoBHrrmGAn4A%2BwkFPl6xTILFmF0Kx6LE3WmCzUZC2tOBf%2Fz5YLZXEx7deYhfucrQ0rXX%2BwSDnuKcMOwvdgf3NTs5UxfUPFV2jzfVmdIAqQXj42uolaE6F51gOe%2FY8ruGfTWa%2BIXauPuKWA6hHNAN%2FrVZEpF467cCxcy1OBebkJV6MwTzKij1cxlmI27OYt%2FaykDxHrerUeCUumJyhP46Qj3ogO98sj34ys%2FWIwnDgEQFTc10AMMGUxrMo2Z763wU%3D&amp;X-Amz-Algorithm=AWS4-HMAC-SHA256&amp;X-Amz-Date=20181128T143416Z&amp;X-Amz-SignedHeaders=host&amp;X-Amz-Expires=300&amp;X-Amz-Credential=ASIAYZTTEKKEZFWR5QVR%2F20181128%2Fus-east-1%2Fs3%2Faws4_request&amp;X-Amz-Signature=e84af8205c6c01eb013209bcb5aad5bb79ef67214d58167507ef98cf8e3f9308"" target=""_blank"">Addressing Data Model</a></p><p><b>Frequency - Data Change:</b>  As needed</p><p><b>Frequency - Publishing:</b>  As needed</p><p><b>Data Steward Name:</b>  Deb Beiber</p><p><b>Data Steward Email:</b> Deborah.Beiber@alleghenycounty.us</p>",6bc65945-3d79-48cf-b25a-03c9a87357b7,
Allegheny County Pennsylvania Senate District Boundaries,"<p>This dataset demarcates the Pennsylvania Senate district boundaries within
Allegheny County.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Civic Vitality and Governance</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Geographic Information Systems Group; Department of
Administrative Services</p>

<p><b>Temporal
Coverage:  </b>2015<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none</p>

<p>Other: 
none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (none)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",0aaf4dd1-716b-4106-b88e-3f07b6cc141a,
Allegheny County WIC Vendor Locations,"<p>This dataset contains the locations of Women, Infants, and Children (WIC)
program vendors.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Human and Social Services</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Department of Health</p>

<p><b>Temporal
Coverage:  </b>2015<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none</p>

<p>Other: none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (none)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",93770e04-4378-4637-b449-aac1677b8fd7,
Allegheny County Pennsylvania House of Representatives District Boundaries,"<p>This dataset demarcates the Pennsylvania House of Representatives district
boundaries within Allegheny County.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Civic Vitality and Governance</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Geographic Information Systems Group; Department of
Administrative Services</p>

<p><b>Temporal
Coverage:  </b>2015<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none</p>

<p>Other: 
none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (none)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",c725355a-d52b-415b-b02f-5cb5291a5298,
Previous Allegheny County Pennsylvania U.S. Legislative Congressional District Boundaries,"<p>This dataset demarcates the U.S. Legislative Congressional district
boundaries within Allegheny County.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Civic Vitality and Governance</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Geographic Information Systems Group; Department of
Administrative Services</p>

<p><b>Temporal
Coverage:  </b>pre-2018 primary election<br /></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none</p>

<p>Other: 
none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (none)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",8c327900-9829-464d-9d39-c14884ad9893,
Allegheny County Polling Place Locations (November 2017),"<div><div><div><p>This dataset contains locations of the polling places in Allegheny County.</p><p>If viewing this description on the Western Pennsylvania Regional Data Center’s open data portal (<a href=""http://www.wprdc.org/"">http://www.wprdc.org</a>), this dataset is harvested on a weekly basis from Allegheny County’s GIS data portal (<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>).
 The full metadata record for this dataset can also be found on 
Allegheny County’s GIS portal. You can access the metadata record and 
other resources on the GIS portal by clicking on the “Explore” button 
(and choosing the “Go to resource” option) to the right of the “ArcGIS 
Open Dataset” text below.</p><p><b>Category:</b>  Civic Vitality and Governance</p><p><b>Organization:</b>  Allegheny County</p><p><b>Department:</b>  Elections Division; Department of Administrative Services</p><p><b>Temporal Coverage:  </b>2017</p><p><b>Data Notes:  </b></p><p>Coordinate System:  Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p><p>Development Notes:  none</p><p>Other:  none</p><p><b>Related Document(s):</b>  Data Dictionary (none)</p><p><b>Frequency - Data Change:</b>  As needed</p><p><b>Frequency - Publishing:</b>  As needed</p><p><b>Data Steward Name:</b>  Eli Thomas</p><p><b>Data Steward Email:</b> gishelp@alleghenycounty.us</p></div></div></div>",9a3be420-1c21-44fd-a32e-5100d641a9b6,
Allegheny County School District Boundaries,"<p>This dataset demarcates the school district boundaries within Allegheny
County</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Civic Vitality and Governance</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Geographic Information Systems Group; Department of
Administrative Services</p>

<p><b>Temporal
Coverage:  </b>2015<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none</p>

<p>Other: 
none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (none)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",e41c0a67-837f-460c-94a9-6650b74f10da,
Allegheny County Polling Place Locations (November 2015),"<div><p>This dataset contains locations of the polling places in Allegheny County.</p><p>If viewing this description on the Western Pennsylvania Regional Data Center’s open data portal (<a href=""http://www.wprdc.org/"">http://www.wprdc.org</a>), this dataset is harvested on a weekly basis from Allegheny County’s GIS data portal (<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The full metadata record for this dataset can also be found on Allegheny County’s GIS portal. You can access the metadata record and other resources on the GIS portal by clicking on the “Explore” button (and choosing the “Go to resource” option) to the right of the “ArcGIS Open Dataset” text below.</p><p><b>Category:</b>  Civic Vitality and Governance</p><p><b>Organization:</b>  Allegheny County</p><p><b>Department:</b>  Elections Divison; Department of Administrative Services</p><p><b>Temporal Coverage:  </b>2015</p><p><b>Data Notes:  </b></p><p>Coordinate System:  Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p><p>Development Notes:  none</p><p>Other:  none</p><p><b>Related Document(s):</b>  Data Dictionary (none)</p><p><b>Frequency - Data Change:</b>  As needed</p><p><b>Frequency - Publishing:</b>  As needed</p><p><b>Data Steward Name:</b>  Eli Thomas</p><p><b>Data Steward Email:</b> gishelp@alleghenycounty.us</p></div>",fe8cf3fe-ec76-4f0f-adbe-6ff83ccff07b,
Allegheny County Pennsylvania U.S. Legislative Congressional District Boundaries,"<p>This dataset demarcates the U.S. Legislative Congressional district
boundaries within Allegheny County. This data was extracted for Allegheny County from the <a href=""http://www.pacourts.us/news-and-statistics/cases-of-public-interest/league-of-women-voters-et-al-v-the-commonwealth-of-pennsylvania-et-al-159-mm-2017"" target=""_blank"">League of Women Voters</a>.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Civic Vitality and Governance</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Geographic Information Systems Group; Department of
Administrative Services</p>

<p><b>Temporal
Coverage:  </b>May 15, 2018 - present</p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none</p>

<p>Other: 
none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (none)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<b>Data
Steward Email:</b> gishelp@alleghenycounty.us",8058c097-c8a4-44e6-abc6-3e5a31f6adf1,
Allegheny County Polling Place Locations (November 2014),"<p>This dataset contains locations of the polling places in Allegheny County.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Civic Vitality and Governance</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Elections Divison; Department of Administrative
Services</p>

<p><b>Temporal
Coverage:  </b>2014<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none</p>

<p>Other: 
none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (none)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",42955c57-4e78-48de-b443-8407d41cd528,
Allegheny County TIF Exclusions,"TIF Exclusion parcels for Allegheny County, PA.",61da498f-8a6e-4754-b8e8-67c25fd8ea05,
Allegheny County Magisterial Districts Outlines (2015),"<p>This dataset shows the magisterial districts in Allegheny County.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org/"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Civic Vitality and Governance</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Minor Judiciary; Fifth Judicial District of Pennsylvania</p>

<p><b>Temporal
Coverage:  </b>2015</p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none</p>

<p>Other: none</p>

<p><b>Related
Document(s):</b>  Data
Dictionary (https://docs.google.com/spreadsheets/d/1WNzi_JLaIL1eR5RWw0FlSAwqIrdExs9Vy2Iui_NE9Go/edit?usp=sharing)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",4b5e3c78-6829-40aa-b401-f1d5fc9d9db2,
